family,outer_fold,inner_fold,selection_contract,training_source,public_file,source_checkpoint_sha256,public_checkpoint_sha256,tensor_exactness
CNN-MSaux,0,1,fixed-inner native validation selection,08b_train_multitask_cnn_risk_head_oof.py,checkpoints/cnn_msaux/outer_0.pth,182e2f9801d0fcfe99f3117785ad76fa8df2ac7477f01a063ed024af7a182cc0,1d4a1e8fc487c456b09166290d204a2d15c9fc039cfb13c84c9e89de75795536,PASS
CNN-MSaux,1,2,fixed-inner native validation selection,08b_train_multitask_cnn_risk_head_oof.py,checkpoints/cnn_msaux/outer_1.pth,27e3b4672583ede9392a86f2a595aaf2bf9a7045e9496881370a4c6b1c81adac,d38e4b22181c3dae1419e43ee1cfb77e5f761e26c11f69f78756323d719e53ec,PASS
CNN-MSaux,2,3,fixed-inner native validation selection,08b_train_multitask_cnn_risk_head_oof.py,checkpoints/cnn_msaux/outer_2.pth,99545689d52341f2977123990179d499419c4ea737e8d53cea06db1e80d02712,6ebf438c07d9bbfb991ba6889413a2822b8121df87ab50b77d5d9febdd1867c6,PASS
CNN-MSaux,3,4,fixed-inner native validation selection,08b_train_multitask_cnn_risk_head_oof.py,checkpoints/cnn_msaux/outer_3.pth,cb5544f3e31beb8f4e7d7e29398db6e83c60ee5bbecc79e358286415215dcc09,90d42ea9419a5a982c5038ac68b984ab99c9b4d8b27773fe74fe3fbd3d886436,PASS
CNN-MSaux,4,0,fixed-inner native validation selection,08b_train_multitask_cnn_risk_head_oof.py,checkpoints/cnn_msaux/outer_4.pth,df11b5fa0877db1e32d1f916ca271602a29e4c58d3ece90f69398b53e88982ec,945834593ac546ef7cd6bc00dcd0a14aa9836307110d1f2b7c66e632310ccd83,PASS
CORAL,0,1,fixed-inner native validation selection,53_train_coral_protocol_v3_full468_oof.py,checkpoints/coral/outer_0.pth,c1cbaa534772e67c367372246c5e34d70b9a35354ec5a88bc9ec20f603de6b09,eefe613e9c59bc1451ffa2aea9c2b6afe3f248cd29f1a9ea522914b7a2b68041,PASS
CORAL,1,2,fixed-inner native validation selection,53_train_coral_protocol_v3_full468_oof.py,checkpoints/coral/outer_1.pth,5425aa611da583a8d53b3ede6ad94103f706d0c299a810e2666fb26a5feac37b,2d0735618b199d81bca4cc4a126e885aa22799de846bf622805798d29bd81496,PASS
CORAL,2,3,fixed-inner native validation selection,53_train_coral_protocol_v3_full468_oof.py,checkpoints/coral/outer_2.pth,203cccd3823d5076c8e1ec278712c4937621aec4ca9181be67f61a8dc0830d8d,4ab9c793ae57d056cc5b0d8a7943f3e62f1b923cccc02a8e02fc0593bfe0fc51,PASS
CORAL,3,4,fixed-inner native validation selection,53_train_coral_protocol_v3_full468_oof.py,checkpoints/coral/outer_3.pth,8fe570f21f6703bf546ea885aafe6e687b59136d1d97206bbe3db197262f93b8,7a2530ac79036200f45f6912622e6108d18fa98b7445ab1e81606502f0886abc,PASS
CORAL,4,0,fixed-inner native validation selection,53_train_coral_protocol_v3_full468_oof.py,checkpoints/coral/outer_4.pth,a14410935080806af2d8830586f612598d5df23d450d1a6e53d72f5e6fc5cac6,ad14d28f9f388733ff7219cfd496a9f7dd333335b48e5457dd826a2597f9557f,PASS
CORAL-MSaux,0,1,historical V4 primary best_val_ordinal_loss,54_train_coral_risk_protocol_v3_full468_oof.py,checkpoints/coral_msaux/outer_0.pth,83de5d38bd2228c45dcf632c3321381e2c4fd747e6411073360a9090fae28e22,dd5a80db23d590668f0213240b53b22f8343be312fe8beef20a1aee9f896c4f1,PASS
CORAL-MSaux,1,2,historical V4 primary best_val_ordinal_loss,54_train_coral_risk_protocol_v3_full468_oof.py,checkpoints/coral_msaux/outer_1.pth,9ea808b40ba4898d85d465752de26f1b916e549f2fa91b0101b54997d61fa69c,d5be1b19aebd10d9a8507adf7258d0ea23b0416cc2ed78bcc73dfceb789c9e43,PASS
CORAL-MSaux,2,3,historical V4 primary best_val_ordinal_loss,54_train_coral_risk_protocol_v3_full468_oof.py,checkpoints/coral_msaux/outer_2.pth,67ae1e0d8e0a20de9bc95b660701d507a5f19060920f9d9e579d677d5478c434,69a1ae780b091cbdbf9e1a85630e09cabf25b18254487e1c78bd2ce8c79622a3,PASS
