System,Macro_F1,QWK,Family,Role,Reference_system
Original DeiT,0.5947574735227842,0.7608305459738391,Original DeiT,standalone DeiT,False
Original CNN,0.5181803963877262,0.7596145599475317,CNN,standalone,False
CORAL,0.5688905642908781,0.7861190570866521,CORAL,standalone,False
CNN-MSaux,0.5222814470039076,0.76479727459729,CNN,MSaux standalone,False
CORAL-MSaux,0.5669434174365763,0.7853532696571153,CORAL,MSaux standalone,False
CNN + fixed DeiT,0.6124200329072484,0.7842248571361827,CNN,fixed DeiT fusion,False
CORAL + fixed DeiT,0.6061162559921249,0.791122847478575,CORAL,fixed DeiT fusion,False
CNN-MSaux + fixed DeiT,0.6056823201192675,0.7813184423238209,CNN,fixed DeiT fusion + MSaux,False
CORAL-MSaux + fixed DeiT,0.6155106478401531,0.7973902091308339,CORAL,fixed DeiT fusion + MSaux,True
ConvNeXt-CE,0.6005568986232529,0.7759478386928549,ConvNeXt-CE,standalone,False
ConvNeXt-CORAL,0.4325297052673,0.7067280394656761,ConvNeXt-CORAL,standalone,False
ConvNeXt-CORAL-MSaux,0.3638086221489182,0.6921161264741753,ConvNeXt-CORAL,MSaux standalone,False
ConvNeXt-CORAL + fixed DeiT,0.5985085305154747,0.7939111557625175,ConvNeXt-CORAL,fixed DeiT fusion,False
ConvNeXt-CORAL-MSaux + fixed DeiT,0.5987347331439657,0.7924154559648541,ConvNeXt-CORAL,fixed DeiT fusion + MSaux,False
