Comparator,Metric,Oriented_delta,CI95_low,CI95_high,CI_excludes_0,Reference,Bootstrap_replicates,Seed,Effect_orientation
CNN + fixed DeiT,Accuracy,0.0322364002686366,0.0207320211362951,0.0437563652393764,True,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CNN + fixed DeiT,Balanced accuracy,-0.0046512087024238,-0.0185704548983291,0.0090225761760966,False,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CNN + fixed DeiT,Macro-F1,0.0030906149329046,-0.0100095908599343,0.0159168350576127,False,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CNN + fixed DeiT,Weighted F1,0.0165694156621192,0.0059059046539767,0.0271174574832552,True,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CNN + fixed DeiT,QWK,0.013165351994651,0.0044953147345379,0.0219290103343205,True,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CNN + fixed DeiT,MAE,0.0275352585627938,0.0154255154212949,0.0396534781551869,True,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CORAL + fixed DeiT,Accuracy,0.0097380792478173,0.0023529214104996,0.0172297297297296,True,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CORAL + fixed DeiT,Balanced accuracy,0.0097990141628895,-0.0006434279509551,0.0201215716720918,False,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CORAL + fixed DeiT,Macro-F1,0.0093943918480281,-0.0006396658681907,0.0193348201207292,False,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CORAL + fixed DeiT,Weighted F1,0.0064759297527539,-0.0006302429298882,0.0136271493769932,False,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
CORAL + fixed DeiT,QWK,0.0062673616522589,-3.971429697237627e-05,0.0128576087164731,False,CORAL-MSaux + fixed DeiT,20000,42,Positive oriented delta favors reference; MAE is direction-oriented so lower raw MAE for reference is positive.
