file,sha256,role,derivation,historical_parent_sha256
Faithfulness_AUC.csv,079fd312656a4610e058755e48789a464d645fd7691910ff4169460a5ab86e11,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Faithfulness_Long.csv,41dccdc6820bbf8c6506aeb59b936e11b8f8b0e9258a42bc8ec8f71c5336588b,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Figure3_SourceData.csv,a1bd24350aabde1a375500a2724fb7b5f92003516e35efbbca6a9dcfb6f97fd7,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Figure4_Radar_SourceData.csv,34369861b82ed42e967cb1d031161a27819af0b586bd5b1c298e79c0e3070543,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Figure5_20kBootstrap.csv,aaedc239b3ee6b73a4c7bfc2603f3bd258b5cc488df511bf59f72ff86acec3cd,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Figure6_Confusion_SourceData.csv,f8736cb167b3d7c1c546e5c26b5b1fa33670be98c22357cf02bb104b57e6851a,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Figure7_Main6_CaseLock.csv,d8003d94774c15a8811cbc4330315e480578adc34a58c82eb1dc9f29fa6c9592,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Interpretability_20CaseLock.csv,38078db15ba9dad7e7650a15c1d14c753d63a411215df4aed37c831fbeb91988,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
README.md,d64ac005ae244b9ab8f75d138839658702d369d39ee2064bb61e8294b1c890af,documentation,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
Table2_14Systems.csv,ba2b3271034204baa06055a56347e5ef39c563710c1d7b8f26a04ed3e53e5d89,reader-facing source data,deterministic 14-system reader-facing alignment; no scientific recomputation during package build,c5d80fe4e3ee386611d11a4338a6191327769f876e56de55a4958bb69b532dfa
