System,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,QWK,MAE
Original DeiT,0.6954331766286098,0.6268294844088709,0.5947574735227842,0.7199899714537097,0.7608305459738391,0.34116856950973806
Original CNN,0.7454667562122229,0.5168152956588115,0.5181803963877262,0.7020643145502197,0.7596145599475317,0.30020147750167897
CORAL,0.7548690396239086,0.5624003267357879,0.5688905642908781,0.7318690305663802,0.7861190570866521,0.2813969106783076
CNN-MSaux,0.7411014103425118,0.5282492217778311,0.5222814470039076,0.7082077294023468,0.76479727459729,0.3049026192075218
CORAL-MSaux,0.7585627938213566,0.56356120778802,0.5669434174365763,0.7327409598386976,0.7853532696571153,0.28038952316991267
CNN + fixed DeiT,0.7169241101410343,0.6351349760295307,0.6124200329072484,0.73637169832308,0.7842248571361827,0.3109469442578912
CORAL + fixed DeiT,0.7394224311618536,0.6206847531642173,0.6061162559921249,0.7464651842324453,0.791122847478575,0.2928139691067831
CNN-MSaux + fixed DeiT,0.7149093351242445,0.6300607893430161,0.6056823201192675,0.7340339678149717,0.7813184423238209,0.31464069845533915
CORAL-MSaux + fixed DeiT,0.7491605104096709,0.6304837673271069,0.6155106478401531,0.7529411139851993,0.7973902091308339,0.2834116856950974
ConvNeXt-CE,0.7377434519811954,0.606157408998068,0.6005568986232529,0.7464081159646062,0.7759478386928549,0.29751511081262594
ConvNeXt-CORAL,0.7357286769644057,0.4956799757064339,0.4325297052673,0.6539264222795126,0.7067280394656761,0.34889187374076563
ConvNeXt-CORAL-MSaux,0.7273337810611148,0.47425886395834127,0.3638086221489182,0.6276196943197575,0.6921161264741753,0.374076561450638
ConvNeXt-CORAL + fixed DeiT,0.748153122901276,0.6174086826341056,0.5985085305154747,0.7459013711905211,0.7939111557625175,0.2887844190732035
ConvNeXt-CORAL-MSaux + fixed DeiT,0.7494963062458025,0.6193514218543461,0.5987347331439657,0.7464625598788571,0.7924154559648541,0.28945601074546673
