bin,bin_low,bin_high,count,mean_predicted_risk,observed_high_risk_rate,absolute_gap
0,0.000000,0.100000,1668,0.043155167,0.004196643,0.038958524
1,0.100000,0.200000,424,0.141501046,0.054245283,0.087255763
2,0.200000,0.300000,188,0.245242977,0.090425532,0.154817445
3,0.300000,0.400000,119,0.348004905,0.252100840,0.095904065
4,0.400000,0.500000,106,0.449256962,0.320754717,0.128502245
5,0.500000,0.600000,76,0.549150380,0.407894737,0.141255644
6,0.600000,0.700000,68,0.653847345,0.558823529,0.095023816
7,0.700000,0.800000,82,0.756438733,0.682926829,0.073511904
8,0.800000,0.900000,115,0.855035364,0.852173913,0.002861451
9,0.900000,1.000000,132,0.934263603,0.969696970,0.035433366
