bin,bin_low,bin_high,count,mean_predicted_risk,observed_high_risk_rate,absolute_gap
0,0.000000,0.100000,1802,0.021146023,0.006659267,0.014486756
1,0.100000,0.200000,316,0.140486616,0.063291139,0.077195477
2,0.200000,0.300000,173,0.248488879,0.104046243,0.144442636
3,0.300000,0.400000,114,0.348722380,0.280701754,0.068020625
4,0.400000,0.500000,106,0.448194836,0.283018868,0.165175968
5,0.500000,0.600000,84,0.549638502,0.416666667,0.132971835
6,0.600000,0.700000,73,0.647793820,0.575342466,0.072451354
7,0.700000,0.800000,58,0.744753002,0.741379310,0.003373691
8,0.800000,0.900000,69,0.850573674,0.826086957,0.024486717
9,0.900000,1.000000,183,0.965376092,0.945355191,0.020020901
