bin,bin_low,bin_high,count,mean_predicted_risk,observed_high_risk_rate,absolute_gap
0,0.000000,0.100000,1845,0.022444881,0.007046070,0.015398810
1,0.100000,0.200000,296,0.140350966,0.064189189,0.076161777
2,0.200000,0.300000,157,0.248472577,0.121019108,0.127453469
3,0.300000,0.400000,107,0.344200975,0.261682243,0.082518732
4,0.400000,0.500000,103,0.450995772,0.310679612,0.140316160
5,0.500000,0.600000,81,0.547700941,0.395061728,0.152639213
6,0.600000,0.700000,64,0.653657603,0.562500000,0.091157603
7,0.700000,0.800000,68,0.755100905,0.720588235,0.034512669
8,0.800000,0.900000,62,0.853262135,0.854838710,0.001576575
9,0.900000,1.000000,195,0.960628687,0.928205128,0.032423559
