bin,bin_low,bin_high,count,mean_predicted_risk,observed_high_risk_rate,absolute_gap
0,0.000000,0.100000,2171,0.013970009,0.018885306,0.004915297
1,0.100000,0.200000,173,0.145250305,0.167630058,0.022379753
2,0.200000,0.300000,103,0.244614094,0.203883495,0.040730599
3,0.300000,0.400000,62,0.351644490,0.306451613,0.045192877
4,0.400000,0.500000,69,0.454259324,0.463768116,0.009508792
5,0.500000,0.600000,60,0.538889278,0.483333333,0.055555945
6,0.600000,0.700000,40,0.647816868,0.600000000,0.047816868
7,0.700000,0.800000,49,0.760667643,0.795918367,0.035250724
8,0.800000,0.900000,44,0.854824182,0.863636364,0.008812182
9,0.900000,1.000000,207,0.964311029,0.917874396,0.046436633
