bin,bin_low,bin_high,count,mean_predicted_risk,observed_high_risk_rate,absolute_gap
0,0.0,0.1,1668,0.04315516692904133,0.004196642685851319,0.03895852424319001
1,0.1,0.2,424,0.1415010458803313,0.054245283018867926,0.08725576286146337
2,0.2,0.30000000000000004,188,0.24524297668090614,0.09042553191489362,0.1548174447660125
3,0.30000000000000004,0.4,119,0.3480049052564951,0.25210084033613445,0.09590406492036063
4,0.4,0.5,106,0.4492569624683516,0.32075471698113206,0.12850224548721956
5,0.5,0.6000000000000001,76,0.5491503804220186,0.40789473684210525,0.14125564357991333
6,0.6000000000000001,0.7000000000000001,68,0.6538473454439562,0.5588235294117647,0.09502381603219145
7,0.7000000000000001,0.8,82,0.756438732843254,0.6829268292682927,0.07351190357496129
8,0.8,0.9,115,0.8550353636322859,0.8521739130434782,0.0028614505888077124
9,0.9,1.0,132,0.93426360339224,0.9696969696969697,0.03543336630472971
