bin,bin_low,bin_high,count,mean_predicted_risk,observed_high_risk_rate,absolute_gap
0,0.0,0.1,1802,0.021146023191671654,0.006659267480577136,0.014486755711094517
1,0.1,0.2,316,0.14048661592527534,0.06329113924050633,0.077195476684769
2,0.2,0.30000000000000004,173,0.2484888789915972,0.10404624277456648,0.1444426362170307
3,0.30000000000000004,0.4,114,0.3487223796379004,0.2807017543859649,0.06802062525193553
4,0.4,0.5,106,0.44819483630641466,0.2830188679245283,0.16517596838188636
5,0.5,0.6000000000000001,84,0.5496385021009814,0.4166666666666667,0.13297183543431473
6,0.6000000000000001,0.7000000000000001,73,0.6477938198477701,0.5753424657534246,0.07245135409434544
7,0.7000000000000001,0.8,58,0.7447530016350663,0.7413793103448276,0.0033736912902386784
8,0.8,0.9,69,0.8505736735859369,0.8260869565217391,0.024486717064197805
9,0.9,1.0,183,0.9653760922009437,0.9453551912568307,0.020020900944113018
