bin,bin_low,bin_high,count,mean_predicted_risk,observed_high_risk_rate,absolute_gap
0,0.0,0.1,2171,0.013970009107000185,0.018885306310456013,0.004915297203455828
1,0.1,0.2,173,0.14525030468208092,0.1676300578034682,0.02237975312138729
2,0.2,0.30000000000000004,103,0.24461409436893206,0.20388349514563106,0.040730599223300995
3,0.30000000000000004,0.4,62,0.35164449000000003,0.3064516129032258,0.04519287709677422
4,0.4,0.5,69,0.4542593243478262,0.463768115942029,0.009508791594202815
5,0.5,0.6000000000000001,60,0.5388892783333333,0.48333333333333334,0.055555944999999995
6,0.6000000000000001,0.7000000000000001,40,0.64781686825,0.6,0.04781686824999998
7,0.7000000000000001,0.8,49,0.7606676434693878,0.7959183673469388,0.035250723877551016
8,0.8,0.9,44,0.8548241815909091,0.8636363636363636,0.00881218204545453
9,0.9,1.0,207,0.9643110294202899,0.9178743961352657,0.04643663328502423
