analysis_role,main_seed,variant,native_roi_count,native_patient_count,native_accuracy,native_balanced_accuracy,native_macro_precision,native_macro_recall,native_macro_f1,native_weighted_f1,native_qwk,native_mae,native_within_one_grade_accuracy,native_undergrade_by_2plus_rate,native_overgrade_by_2plus_rate,native_high_risk_recall_argmax,native_false_clear_rate_argmax,native_moderate_false_clear_rate,native_severe_false_clear_rate,native_normal_recall,native_mild_recall,native_moderate_recall,native_severe_recall,native_risk_auroc,native_risk_auprc,native_risk_brier,native_risk_ece,native_crossfit_roi_recall_at_target,native_crossfit_roi_specificity_at_target,native_crossfit_roi_flag_rate_at_target,native_crossfit_patient_recall_at_target,native_crossfit_patient_specificity_at_target,native_crossfit_patient_flag_rate_at_target,matched_roi_count,matched_patient_count,matched_accuracy,matched_balanced_accuracy,matched_macro_precision,matched_macro_recall,matched_macro_f1,matched_weighted_f1,matched_qwk,matched_mae,matched_within_one_grade_accuracy,matched_undergrade_by_2plus_rate,matched_overgrade_by_2plus_rate,matched_high_risk_recall_argmax,matched_false_clear_rate_argmax,matched_moderate_false_clear_rate,matched_severe_false_clear_rate,matched_normal_recall,matched_mild_recall,matched_moderate_recall,matched_severe_recall,matched_risk_auroc,matched_risk_auprc,matched_risk_brier,matched_risk_ece,matched_crossfit_roi_recall_at_target,matched_crossfit_roi_specificity_at_target,matched_crossfit_roi_flag_rate_at_target,matched_crossfit_patient_recall_at_target,matched_crossfit_patient_specificity_at_target,matched_crossfit_patient_flag_rate_at_target
primary,42,Original_60_40,2978,468,0.7115513767629281,0.6366927100346504,0.6007888396644168,0.6366927100346504,0.6111795923140857,0.7331334545893092,0.7750247603832812,0.31900604432505036,0.9714573539288113,0.005372733378106112,0.023169912693082606,0.7813852813852814,0.21861471861471862,0.3661417322834646,0.038461538461538464,0.7775012444001991,0.5581854043392505,0.48031496062992124,0.7307692307692307,0.9579246932188109,0.8387296207227268,0.059643937216811244,0.061903982175764455,0.8961038961038961,0.8751987281399046,0.24445936870382806,0.9116465863453815,0.7214611872146118,0.6153846153846154,2978,468,0.7115513767629281,0.6366927100346504,0.6007888396644168,0.6366927100346504,0.6111795923140857,0.7331334545893092,0.7750247603832812,0.31900604432505036,0.9714573539288113,0.005372733378106112,0.023169912693082606,0.7813852813852814,0.21861471861471862,0.3661417322834646,0.038461538461538464,0.7775012444001991,0.5581854043392505,0.48031496062992124,0.7307692307692307,0.9579246932188109,0.8387296207227268,0.059643937216811244,0.061903982175764455,0.8961038961038961,0.8751987281399046,0.24445936870382806,0.9116465863453815,0.7214611872146118,0.6153846153846154
primary,42,Original_CORAL_60_40,2978,468,0.7343854936198791,0.6293132689112477,0.5982814923241617,0.6293132689112477,0.6115822137803726,0.7456680601382877,0.7886384338696317,0.29751511081262594,0.9697783747481531,0.006715916722632639,0.02350570852921424,0.7835497835497836,0.21645021645021645,0.36220472440944884,0.038461538461538464,0.8332503733200597,0.47337278106508873,0.46062992125984253,0.75,0.9598990701931878,0.8425526801685774,0.056973035894542536,0.0412216755832546,0.9004329004329005,0.8815580286168522,0.2397582269979852,0.9036144578313253,0.7123287671232876,0.6153846153846154,2978,468,0.7343854936198791,0.6293132689112477,0.5982814923241617,0.6293132689112477,0.6115822137803726,0.7456680601382877,0.7886384338696317,0.29751511081262594,0.9697783747481531,0.006715916722632639,0.02350570852921424,0.7835497835497836,0.21645021645021645,0.36220472440944884,0.038461538461538464,0.8332503733200597,0.47337278106508873,0.46062992125984253,0.75,0.9598990701931878,0.8425526801685774,0.056973035894542536,0.0412216755832546,0.9004329004329005,0.8815580286168522,0.2397582269979852,0.9036144578313253,0.7123287671232876,0.6153846153846154
primary,42,Original_CORAL_RISK_G_60_40,2978,468,0.7444593687038281,0.6290567716575632,0.600900527053058,0.6290567716575632,0.6138206405314282,0.7505272010368453,0.7940985052434533,0.2877770315648086,0.9701141705842847,0.007387508394895903,0.02249832102081934,0.79004329004329,0.20995670995670995,0.35039370078740156,0.038461538461538464,0.8561473369835739,0.4358974358974359,0.4645669291338583,0.7596153846153846,0.9559696728814376,0.8350553628784526,0.0549677955147551,0.013152975231263471,0.8961038961038961,0.8616852146263911,0.2558764271323036,0.8995983935742972,0.730593607305936,0.6047008547008547,2978,468,0.7444593687038281,0.6290567716575632,0.600900527053058,0.6290567716575632,0.6138206405314282,0.7505272010368453,0.7940985052434533,0.2877770315648086,0.9701141705842847,0.007387508394895903,0.02249832102081934,0.79004329004329,0.20995670995670995,0.35039370078740156,0.038461538461538464,0.8561473369835739,0.4358974358974359,0.4645669291338583,0.7596153846153846,0.9598233642351289,0.842750807550786,0.056633669539455846,0.04070249184249085,0.9025974025974026,0.8859300476947536,0.2364002686366689,0.8995983935742972,0.7351598173515982,0.6025641025641025
secondary,42,Original_CNN,2978,468,0.7441235728676965,0.5273913670988047,0.5565401405715555,0.5273913670988047,0.5267920487755846,0.7073771800521963,0.758390184319994,0.3038952316991269,0.9563465413028879,0.029885829415715246,0.013767629281396911,0.7056277056277056,0.2943722943722944,0.4645669291338583,0.08653846153846154,0.9517172722747635,0.16765285996055226,0.28346456692913385,0.7067307692307693,0.9457584016407545,0.8164949975852974,0.06569260059759864,0.08573977737255307,0.9047619047619048,0.8108108108108109,0.30020147750167897,0.8955823293172691,0.7123287671232876,0.6111111111111112,2978,468,0.7441235728676965,0.5273913670988047,0.5565401405715555,0.5273913670988047,0.5267920487755846,0.7073771800521963,0.758390184319994,0.3038952316991269,0.9563465413028879,0.029885829415715246,0.013767629281396911,0.7056277056277056,0.2943722943722944,0.4645669291338583,0.08653846153846154,0.9517172722747635,0.16765285996055226,0.28346456692913385,0.7067307692307693,0.9457584016407545,0.8164949975852974,0.06569260059759864,0.08573977737255307,0.9047619047619048,0.8108108108108109,0.30020147750167897,0.8955823293172691,0.7123287671232876,0.6111111111111112
secondary,42,Original_DeiT,2978,468,0.6974479516453996,0.6403401539843832,0.597578303318637,0.6403401539843832,0.6074777444373374,0.7238272718541232,0.7664385466738965,0.3341168569509738,0.9704499664204164,0.004365345869711216,0.025184687709872398,0.7965367965367965,0.20346320346320346,0.33858267716535434,0.038461538461538464,0.7476356396217023,0.5838264299802761,0.5039370078740157,0.7259615384615384,0.9559812868636397,0.8229554169860492,0.06322660025485885,0.05193776225892404,0.9025974025974026,0.8831478537360891,0.23875083948959033,0.891566265060241,0.7168949771689498,0.6068376068376068,2978,468,0.6974479516453996,0.6403401539843832,0.597578303318637,0.6403401539843832,0.6074777444373374,0.7238272718541232,0.7664385466738965,0.3341168569509738,0.9704499664204164,0.004365345869711216,0.025184687709872398,0.7965367965367965,0.20346320346320346,0.33858267716535434,0.038461538461538464,0.7476356396217023,0.5838264299802761,0.5039370078740157,0.7259615384615384,0.9559812868636397,0.8229554169860492,0.06322660025485885,0.05193776225892404,0.9025974025974026,0.8831478537360891,0.23875083948959033,0.891566265060241,0.7168949771689498,0.6068376068376068
secondary,42,CORAL,2978,468,0.7609133646742781,0.5703125306200837,0.616478859385836,0.5703125306200837,0.5890075338874996,0.7439998887062257,0.7932750171231893,0.2689724647414372,0.9721289456010745,0.019476158495634655,0.0083948959032908,0.6753246753246753,0.3246753246753247,0.515748031496063,0.09134615384615384,0.9347934295669488,0.3076923076923077,0.3464566929133858,0.6923076923076923,0.955385102443926,0.8307561298397841,0.057388067927376184,0.032201237654575006,0.8961038961038961,0.8672496025437202,0.2511752854264607,0.8955823293172691,0.7123287671232876,0.6111111111111112,2978,468,0.7609133646742781,0.5703125306200837,0.616478859385836,0.5703125306200837,0.5890075338874996,0.7439998887062257,0.7932750171231893,0.2689724647414372,0.9721289456010745,0.019476158495634655,0.0083948959032908,0.6753246753246753,0.3246753246753247,0.515748031496063,0.09134615384615384,0.9347934295669488,0.3076923076923077,0.3464566929133858,0.6923076923076923,0.955385102443926,0.8307561298397841,0.057388067927376184,0.032201237654575006,0.8961038961038961,0.8672496025437202,0.2511752854264607,0.8955823293172691,0.7123287671232876,0.6111111111111112
secondary,42,CORAL_RISK_G,2978,468,0.7595701813297515,0.5572975480177218,0.5925993527050848,0.5572975480177218,0.5599208447617213,0.7255717621303338,0.7832715222537914,0.2800537273337811,0.9637340496977838,0.02384150436534587,0.012424445936870383,0.7316017316017316,0.2683982683982684,0.4409448818897638,0.057692307692307696,0.9586859133897462,0.1854043392504931,0.3543307086614173,0.7307692307692307,0.9559696728814376,0.8350553628784526,0.0549677955147551,0.013152975231263471,0.8961038961038961,0.8616852146263911,0.2558764271323036,0.8995983935742972,0.730593607305936,0.6047008547008547,2978,468,0.7595701813297515,0.5572975480177218,0.5925993527050848,0.5572975480177218,0.5599208447617213,0.7255717621303338,0.7832715222537914,0.2800537273337811,0.9637340496977838,0.02384150436534587,0.012424445936870383,0.7316017316017316,0.2683982683982684,0.4409448818897638,0.057692307692307696,0.9586859133897462,0.1854043392504931,0.3543307086614173,0.7307692307692307,0.9559903199609083,0.8363762326548169,0.055811137427067684,0.028615646958376897,0.8939393939393939,0.8620826709062003,0.2552048354600403,0.8995983935742972,0.7488584474885844,0.5961538461538461
secondary,42,CORAL_RISK_S,2978,468,0.7431161853593016,0.5831563336680801,0.5510307596526648,0.5831563336680801,0.5574248491682176,0.727723375352105,0.7850772435211346,0.30087306917394224,0.9593687038280725,0.012760241773002015,0.027871054398925454,0.8116883116883117,0.18831168831168832,0.31496062992125984,0.03365384615384615,0.9094076655052264,0.2445759368836292,0.3661417322834646,0.8125,0.9536021411021411,0.8298196803024857,0.06302797523506597,0.05530891929000743,0.8917748917748918,0.8636724960254372,0.2535258562793821,0.8995983935742972,0.7168949771689498,0.6111111111111112,2978,468,0.7431161853593016,0.5831563336680801,0.5510307596526648,0.5831563336680801,0.5574248491682176,0.727723375352105,0.7850772435211346,0.30087306917394224,0.9593687038280725,0.012760241773002015,0.027871054398925454,0.8116883116883117,0.18831168831168832,0.31496062992125984,0.03365384615384615,0.9094076655052264,0.2445759368836292,0.3661417322834646,0.8125,0.9540667003902297,0.8304933592605903,0.06648875321273591,0.07833770546066213,0.8896103896103896,0.8589030206677265,0.25721961047683006,0.8995983935742972,0.726027397260274,0.6068376068376068
secondary,42,Original_CORAL_RISK_S_60_40,2978,468,0.7236400268636669,0.633923726449578,0.5850940587852117,0.633923726449578,0.6052302755905054,0.7379679452758927,0.7843485392242293,0.31027535258562794,0.9680993955674949,0.005708529214237743,0.026192075218267292,0.8051948051948052,0.19480519480519481,0.32677165354330706,0.03365384615384615,0.812344449975112,0.4812623274161736,0.44881889763779526,0.7932692307692307,0.9536021411021411,0.8298196803024857,0.06302797523506597,0.05530891929000743,0.8917748917748918,0.8636724960254372,0.2535258562793821,0.8995983935742972,0.7168949771689498,0.6111111111111112,2978,468,0.7236400268636669,0.633923726449578,0.5850940587852117,0.633923726449578,0.6052302755905054,0.7379679452758927,0.7843485392242293,0.31027535258562794,0.9680993955674949,0.005708529214237743,0.026192075218267292,0.8051948051948052,0.19480519480519481,0.32677165354330706,0.03365384615384615,0.812344449975112,0.4812623274161736,0.44881889763779526,0.7932692307692307,0.9594844080138197,0.843745167558445,0.06083186355851654,0.062497739568692305,0.8982683982683982,0.8863275039745628,0.235392881128274,0.8995983935742972,0.7123287671232876,0.6132478632478633
secondary,42,Original_25_75,2978,468,0.7461383478844862,0.6151367566181957,0.6035059758141272,0.6151367566181957,0.6088215592638393,0.7507245149164946,0.7968767164611418,0.28206850235057085,0.9741437206178644,0.008730691739422432,0.01712558764271323,0.7532467532467533,0.24675324675324675,0.4094488188976378,0.04807692307692308,0.8636137381781981,0.4536489151873767,0.41732283464566927,0.7259615384615384,0.9550513079924845,0.8342748988417567,0.06150651990347878,0.07881694533080365,0.8917748917748918,0.8640699523052464,0.2531900604432505,0.8995983935742972,0.726027397260274,0.6068376068376068,2978,468,0.7461383478844862,0.6151367566181957,0.6035059758141272,0.6151367566181957,0.6088215592638393,0.7507245149164946,0.7968767164611418,0.28206850235057085,0.9741437206178644,0.008730691739422432,0.01712558764271323,0.7532467532467533,0.24675324675324675,0.4094488188976378,0.04807692307692308,0.8636137381781981,0.4536489151873767,0.41732283464566927,0.7259615384615384,0.9550513079924845,0.8342748988417567,0.06150651990347878,0.07881694533080365,0.8917748917748918,0.8640699523052464,0.2531900604432505,0.8995983935742972,0.726027397260274,0.6068376068376068
